"IDPESSOA","NOME","IDFORCLI"
9,"FLYTOUR - URANO VIAGENS E TURISMO",822
9,"A & D LOCACAO DE EQUIPAMENTOS PARA EVENTOS",823
9,"AB MAIOR CONSULTORIA AMBIENTAL",831
9,"AMERICAN EXPRESS CARDS",832
9,"ABALLONE TURISMO",833
9,"ANTONIO FRANCISCO RODRIGUES TRANSPORTES - EPP",834
9,"APAE CAMPINAS",835
9,"MONTSERRAT",837
9,"ABSA AEROLINHAS BRASILEIRAS S/A",838
9,"ARTHUR ANDERSEN S/C",839
9,"ABSOLUTA EVENTOS CORPORATIVOS E VIAGENS",840
9,"ARTICO TURISMO LTDA",841
9,"ASA ALUMINIO S/A",842
9,"ACACIA INFORMATICA",843
9,"ASGA S/A",844
9,"APAE SAO PAULO",847
9,"ASSOC. EVANGELICA JULIANO SOUZA MINISTRIES",849
9,"ASSOJAF - SP",850
9,"ASSOC.NAC.SEG. PODER JUDICIARIO UNIAO",851
9,"FLYTOUR - JUNDIAI",852
9,"ASSOC.UNIFICADA PAULISTA DE ENS.OBJE.ASS.",855
9,"ASSOCIACAO DE EDUCACAO DO HOMEM DE AMANHA",856
9,"ATELIER VIAGENS E TURISMO LTDA.",857
9,"ATENTO BRASIL S/A - D.E. DE CLIENTES TELEFONICA",859
9,"UNIP - UNIVERSIDADE PAULISTA",860
9,"ASSOCIACAO DOS PROF. DE PROPAGANDA CAMPINAS",861
9,"EP DE SOUZA TURISMO VIAGEM",863
9,"EUROPLUS VIAGENS E TURISMO LTDA.",864
9,"FBX GER.DE EMP. E REP. COMERCIAL LTDA. EPP",865
9,"FIORDE VIAGENS E TURISMO LTDA.",866
9,"FOB VIAGENS E TURISMO LTDA.",868
9,"FLYTOUR - CAMPO GRANDE",869
9,"GIORDANI TURISMO LTDA.",871
9,"GIRASSOL TOURS OPERADORA",872
9,"PERSONAL BRASIL WHOLESALER",873
9,"HM ENGENHARIA E CONSTRUCOES LTDA.",874
9,"IBIAEON CONS. PATRIMONIAL E INFOMARTICA LTDA.",875
9,"IMAGEPRO SISTEMAS DE APRESENTACOES LTDA.",876
9,"IMPACTOURS VIAGENS E TURISMO LTDA.",877
9,"INFORMAIS COM. E SERV. DE INFORMATICA LTDA.",878
9,"INST. BRAS. DE EST. TOX. E AFRMAC. LTDA.",879
9,"INTERACTIVE INST. E LOC. DE EQUIPAMENTOS LTDA.",880
9,"INTERCUF INDUSTRIA E COMERCIO LTDA",881
9,"ISOTRON LTDA.",882
9,"JOFER TRANSPORTES LTDA.",883
9,"HOUSE HOLD",885
9,"KASSOW,CARMAGANANI,BRAGA,BRIGATTI ADVOGADOS",886
9,"LANG BROTHERS SONORIZACAO LTDA.",887
9,"LANMAR INDUSTRIA METALURGICA LTDA.",888
9,"ATIVA REPRESENTACOES VIAGENS E TURISMO",889
9,"AZUL LINHAS AEREAS BRASILEIRAS S/A",890
