"IDHOTEL","CODSEGMENTO","DESCRICAO","ANALITICASINTETIC"
1,"0204","Agência Permuta","A"
1,"0205","Agência Uso da Casa","A"
1,"0305","Operadora Uso da Casa","A"
1,"01","Particular","S"
1,"02","Agência","S"
1,"03","Operadora","S"
1,"04","Empresa","S"
1,"0101","Particular","A"
1,"0102","Particular Cortesia","A"
1,"0103","Particular Permuta","A"
1,"0201","Agência Nacional","A"
1,"0202","Agência Internacional","A"
1,"0301","Operadora Nacional","A"
1,"0302","Operadora Internacional","A"
1,"0401","Empresa Nacional","A"
1,"0402","Empresa Internacional","A"
1,"0203","Agência Cortesia","A"
1,"0303","Operadora Cortesia","A"
1,"0403","Empresa Cortesia","A"
1,"0404","Empresa Permuta","A"
1,"05","Proprietário","S"
1,"0501","Proprietário Flat","A"
1,"0405","Empresa Uso da Casa","A"
1,"0304","Operadora Permuta","A"
1,"0104","Particular Uso da Casa","A"
1,"06","Eventos","S"
1,"0601","Eventos Nacional","A"
1,"0602","Eventos Internacional","A"
1,"0603","Eventos Cortesia","A"
1,"0604","Eventos Permuta","A"
1,"0605","Eventos Uso da Casa","A"
4,"0204","Agência Permuta","A"
4,"0205","Agência Uso da Casa","A"
4,"0305","Operadora Uso da Casa","A"
4,"01","Particular","S"
4,"02","Agência","A"
4,"03","Operadora","S"
4,"04","Empresa","S"
4,"0101","Particular","A"
4,"0102","Particular Cortesia","A"
4,"0103","Particular Permuta","A"
4,"0201","Agência Nacional","A"
4,"0202","Agência Internacional","A"
4,"0301","Operadora Nacional","A"
4,"0302","Operadora Internacional","A"
4,"0401","Empresa Nacional","A"
4,"0402","Empresa Internacional","A"
4,"0203","Agência Cortesia","A"
4,"0303","Operadora Cortesia","A"
4,"0403","Empresa Cortesia","A"
4,"0404","Empresa Permuta","A"
4,"05","Proprietário","S"
4,"0501","Proprietário Flat","A"
4,"0405","Empresa Uso da Casa","A"
4,"0304","Operadora Permuta","A"
4,"0104","Particular Uso da Casa","S"
4,"06","Eventos","S"
4,"0601","Eventos Nacional","A"
4,"0602","Eventos Internacional","A"
4,"0603","Eventos Cortesia","A"
4,"0604","Eventos Permuta","A"
4,"0605","Eventos Uso da Casa","A"
2,"0204","Agência Permuta","A"
2,"0205","Agência Uso da Casa","A"
2,"0305","Operadora Uso da Casa","A"
2,"01","Particular","S"
2,"02","Agência","S"
2,"03","Operadora","S"
2,"04","Empresa","S"
2,"0101","Particular","A"
2,"0102","Particular Cortesia","A"
2,"0103","Particular Permuta","A"
2,"0201","Agência Nacional","A"
2,"0202","Agência Internacional","A"
2,"0301","Operadora Nacional","A"
2,"0302","Operadora Internacional","A"
2,"0401","Empresa Nacional","A"
2,"0402","Empresa Internacional","A"
2,"0203","Agência Cortesia","A"
2,"0303","Operadora Cortesia","A"
2,"0403","Empresa Cortesia","A"
2,"0404","Empresa Permuta","A"
2,"05","Proprietário","S"
2,"0501","Proprietário Flat","A"
2,"0405","Empresa Uso da Casa","A"
2,"0304","Operadora Permuta","A"
2,"0104","Particular Uso da Casa","A"
2,"06","Eventos","S"
2,"0601","Eventos Nacional","A"
2,"0602","Eventos Internacional","A"
2,"0603","Eventos Cortesia","A"
2,"0604","Eventos Permuta","A"
2,"0605","Eventos Uso da Casa","A"
3,"0204","Agência Permuta","A"
3,"0205","Agência Uso da Casa","A"
3,"0305","Operadora Uso da Casa","A"
3,"01","Particular","S"
3,"02","Agência","S"
3,"03","Operadora","S"
3,"04","Empresa","S"
3,"0101","Particular","A"
3,"0102","Particular Cortesia","A"
3,"0103","Particular Permuta","A"
3,"0201","Agência Nacional","A"
3,"0202","Agência Internacional","A"
3,"0301","Operadora Nacional","A"
3,"0302","Operadora Internacional","A"
3,"0401","Empresa Nacional","A"
3,"0402","Empresa Internacional","A"
3,"0203","Agência Cortesia","A"
3,"0303","Operadora Cortesia","A"
3,"0403","Empresa Cortesia","A"
3,"0404","Empresa Permuta","A"
3,"05","Proprietário","S"
3,"0501","Proprietário Flat","A"
3,"0405","Empresa Uso da Casa","A"
3,"0304","Operadora Permuta","A"
3,"0104","Particular Uso da Casa","A"
3,"06","Eventos","S"
3,"0601","Eventos Nacional","A"
3,"0602","Eventos Internacional","A"
3,"0603","Eventos Cortesia","A"
3,"0604","Eventos Permuta","A"
3,"0605","Eventos Uso da Casa","A"
1,"07","Grupos","S"
1,"0701","Grupo Nacional","A"
1,"0702","Grupo Internacional","A"
1,"0703","Grupo Cortesia","A"
1,"0704","Grupo Permuta","A"
1,"0705","Grupo Uso da Casa","A"
3,"0406","CIA Aerea","A"
9,"0204","Agência Permuta","A"
9,"0205","Agência Uso da Casa","A"
9,"0305","Operadora Uso da Casa","A"
9,"01","Particular","S"
9,"02","Agência","S"
9,"03","Operadora","S"
9,"04","Empresa","S"
9,"0101","Particular","A"
9,"0102","Particular Cortesia","A"
9,"0103","Particular Permuta","A"
9,"0201","Agência Nacional","A"
9,"0202","Agência Internacional","A"
9,"0301","Operadora Nacional","A"
9,"0302","Operadora Internacional","A"
9,"0401","Empresa Nacional","A"
9,"0402","Empresa Internacional","A"
9,"0203","Agência Cortesia","A"
9,"0303","Operadora Cortesia","A"
9,"0403","Empresa Cortesia","A"
9,"0404","Empresa Permuta","A"
9,"05","Proprietário","S"
9,"0501","Proprietário Flat","A"
9,"0405","Empresa Uso da Casa","A"
9,"0304","Operadora Permuta","A"
9,"0104","Particular Uso da Casa","A"
9,"06","Eventos","S"
9,"0601","Eventos Nacional","A"
9,"0602","Eventos Internacional","A"
9,"0603","Eventos Cortesia","A"
9,"0604","Eventos Permuta","A"
9,"0605","Eventos Uso da Casa","A"
12,"0204","Agência Permuta","A"
12,"0205","Agência Uso da Casa","A"
12,"0305","Operadora Uso da Casa","A"
12,"01","Particular","S"
12,"02","Agência de Viagem","S"
12,"03","Operadora","S"
12,"04","Empresa","S"
12,"0101","Particular","A"
12,"0102","Particular Cortesia","A"
12,"0103","Particular Permuta","A"
12,"0201","Agência Nacional","A"
12,"0202","Agência Internacional","A"
12,"0301","Operadora Nacional","A"
12,"0302","Operadora Internacional","A"
12,"0401","Empresa Nacional","A"
12,"0402","Empresa Internacional","A"
12,"0203","Agência Cortesia","A"
12,"0303","Operadora Cortesia","A"
12,"0403","Empresa Cortesia","A"
12,"0404","Empresa Permuta","A"
12,"05","Corporativo","S"
12,"0501","Corporativo","A"
12,"0405","Empresa Uso da Casa","A"
12,"0304","Operadora Permuta","A"
12,"0104","Particular Uso da Casa","A"
12,"06","Eventos","S"
12,"0601","Eventos Nacional","A"
12,"0602","Eventos Internacional","A"
