"IDHOTEL","IDTIPODEBCRED","CENTROCUSTOCREDIT","DESCRICAO","RECPAG","IDGRUPODC","IDPRINCIPAL","PRINCIPALSECUNDAR","GRUPOFIXO","GRUPO","FLGPDVSERVICO","PDVALIMENTO","NOMEGRUPO","IDHOTEL_TIPODEBCRED"
9,1,null,"Consumo Interno","R",4,1,"P","RE","ALIMENTOS E BEBIDAS","N","N","AeB",91
9,2,null,"Gorjeta Inativo","R",8,2,"P","DV","DIVERSOS","N","N","Diversos",92
9,3,null,"Diaria","R",2,3,"P","DI","HOSPEDAGEM","N","N","Diaria",93
9,4,null,"Chegada Antecipada","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",94
9,5,null,"No Show","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",95
9,6,null,"Diaria Manual","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",96
9,7,null,"Up Selling","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",97
9,8,null,"Desconto Diaria","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",98
9,9,null,"Late Check Out","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",99
9,10,null,"Day Use","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",910
9,11,null,"Referente Amanha","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",911
9,12,null,"Devolucao Deposito","R",7,29,"S","DP","CREDITOS","N","N","Dep√≥sitos",912
9,13,null,"Cafe Manha (-)","R",2,3,"S","DI","HOSPEDAGEM","N","N","Diaria",913
9,14,null,"Troco  Inativo","R",7,19,"S","DN","CREDITOS","N","N","Dinheiro",914
9,15,null,"Cafe Manha (+)","R",4,49,"S","DI","ALIMENTOS E BEBIDAS","N","N","Diaria",915
9,17,null,"Telefone","R",3,17,"P","TL","TELECOMUNICA«’ES","N","N","Telefonia",917
9,18,null,"Internet","R",3,18,"P","TL","TELECOMUNICA«’ES","N","N","Telefonia",918
9,19,null,"Dinheiro","R",7,19,"P","DN","CREDITOS","N","N","Dinheiro",919
9,20,null,"Desconto AB","R",4,49,"S","RE","ALIMENTOS E BEBIDAS","N","N","AeB",920
9,21,null,"Banquete","R",10,21,"P","BQ","EVENTOS","N","S","BQ",921
9,22,null,"Aluguel de Salao","R",10,22,"P","EV","EVENTOS","N","N","Eventos",922
9,23,null,"Aluguel Equipamentos","R",10,23,"P","EV","EVENTOS","N","N","Eventos",923
9,24,null,"Taxa Turismo","R",6,24,"P","DV","IMPOSTOS E TAXAS","N","N","Diversos",924
9,29,null,"Deposito Antecipado","R",7,29,"P","DP","CREDITOS","N","N","Dep√≥sitos",929
9,30,null,"Pessoal de Apoio","R",10,30,"P","EV","EVENTOS","N","N","Eventos",930
9,37,null,"A Faturar","R",7,37,"P","AF","CREDITOS","N","N","A Faturar",937
9,38,null,"Cheque","R",7,38,"P","CH","CREDITOS","N","N","CH",938
9,39,null,"Cartao Credito","R",7,39,"P","CC","CREDITOS","N","N","Cart√µes",939
9,40,null,"Amex Nacional","R",7,39,"S","CC","CREDITOS","N","N","Cart√µes",940
9,41,null,"Visa","R",7,39,"S","CC","CREDITOS","N","N","Cart√µes",941
9,42,null,"Visa Electron","R",7,39,"S","CC","CREDITOS","N","N","Cart√µes",942
9,43,null,"Master Card","R",7,39,"S","CC","CREDITOS","N","N","Cart√µes",943
9,44,null,"Rede Shop","R",7,39,"S","CC","CREDITOS","N","N","Cart√µes",944
9,45,null,"Hipercard Inativo","R",7,39,"S","CC","CREDITOS","N","N","Cart√µes",945
9,46,null,"Room Service","R",4,46,"P","RS","ALIMENTOS E BEBIDAS","N","S","AeB",946
9,49,null,"Restaurante Biribar","R",4,49,"P","RE","ALIMENTOS E BEBIDAS","N","S","AeB",949
9,51,null,"Frigobar","R",4,51,"P","BU","ALIMENTOS E BEBIDAS","N","S","AeB",951
9,52,null,"TARDEZINHA","R",4,52,"P","BA","ALIMENTOS E BEBIDAS","N","S","AeB",952
9,53,null,"Lavanderia","R",5,53,"P","LV","LAVANDERIA","N","N","Lavanderia",953
9,56,null,"ISS","R",6,56,"P",null,"IMPOSTOS E TAXAS","N","N",null,956
9,57,null,"Taxa Servico (+)","R",6,57,"P",null,"IMPOSTOS E TAXAS","N","N",null,957
9,58,null,"Transf Credito","R",11,58,"P","OR","TRANSFERENCIAS","N","N","Outros Recebimentos",958
9,59,null,"Transf Diaria","R",11,59,"P","DI","TRANSFERENCIAS","N","N","Diaria",959
