"IDVEICULOS","DESCRICAO","GRATUITO","CODREDUZIDO","TRGDTINCLUSAO","TRGUSERINCLUSAO","FLGATIVO"
1,"Televisao","N","TVE",08/08/2008 12:22:09,"CM500","N"
2,"Radio","N","RAD",08/08/2008 12:22:29,"CM500","N"
3,"Indicação","S","IND",08/08/2008 12:22:39,"CM500","S"
4,"Mala Direta","S","MAL",08/08/2008 12:22:47,"CM500","S"
5,"Jornal","N","JRN",08/08/2008 12:22:56,"CM500","N"
6,"Revista","N","REV",08/08/2008 12:23:05,"CM500","N"
7,"Direto no Hotel (Walk in)","S","WAL",08/08/2008 12:23:32,"CM500","S"
8,"Site do Hotel","N","WEB",08/08/2008 12:23:51,"CM500","S"
9,"CMNet","N","CMN",08/08/2008 12:24:01,"CM500","S"
10,"Portais","N","POR",24/07/2015 12:12:07,"CM516399","S"
11,"Agência","N","AGE",24/07/2015 12:12:22,"CM516399","S"
12,"Empresa","N","EMP",24/07/2015 12:12:36,"CM516399","S"
13,"Mídias","N","MID",24/07/2015 12:13:02,"CM516399","S"
14,"Email Mkt","N","EMM",24/07/2015 12:13:24,"CM516399","S"
15,"Evento Interno","N","EIN",24/07/2015 12:13:54,"CM516399","S"
16,"Evento Externo","N","EEX",24/07/2015 12:14:05,"CM516399","S"
